#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T12:51:22 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T12:51:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FMNRAS%2F478%2F1520%2Ftable2&-out.all=1&-out.max=50000&-oc.form=sexa	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74781520
#Name: J/MNRAS/478/1520
#Title: Milky Way globular clusters data (Baumgardt+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/478/1520	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/478/1520	    IVOID of underlying data collection
#INFO	creator=Baumgardt H.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.478.1520B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/478/1520	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74781520	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_478_1520_table2:
#Name: J/MNRAS/478/1520/table2
#Title: Derived parameters of all studied globular clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Note	(A1)	[*] * indicates data in tabled.dat	[ucd=meta.note]
#Column	Cluster	(a12)	Name of the cluster	[ucd=meta.id.parent]
#Column	NRV	(I4)	Number of cluster members with measured radial velocities	[ucd=meta.number]
#Column	<RV>	(F6.1)	Mean radial velocity of the cluster	[ucd=phys.veloc;pos.heliocentric]
#Column	e_<RV>	(F4.1)	Mean radial velocity of the cluster error	[ucd=stat.error]
#Column	chi2	(F5.2)	Reduced chi^2^ value of the velocity dispersion fit	[ucd=stat.fit.chi2;phys.veloc.dispersion;meta.modelled]
#Column	Dist	(F6.2)	Cluster distance (1)	[ucd=pos.distance]
#Column	n_Dist	(A1)	[ab] Note on Dist (2)	[ucd=meta.note]
#Column	Mass	(E9.2)	Total cluster mass	[ucd=phys.mass]
#Column	e_Mass	(E9.2)	Total cluster mass error	[ucd=stat.error;phys.mass]
#Column	M/LV	(F5.2)	Total cluster V-band mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	e_M/LV	(F5.2)	Total cluster V-band mass-to-light ratio error	[ucd=stat.error]
#Column	rc	(F5.2)	Core half-light radius	[ucd=phys.size.radius]
#Column	rnm	(F5.2)	Half-mass half-light radius	[ucd=phys.size.radius]
#Column	rmlp	(F5.2)	Projected half-light radius	[ucd=phys.size.radius]
#Column	logrhoc	(F5.2)	Central density	[ucd=phys.density]
#Column	logrhonm	(F5.2)	Density inside the half-mass radius	[ucd=phys.size.radius]
#Column	logTRH	(F5.2)	Half-mass relaxation time	[ucd=time.relax]
#Column	MFslope	(E8.1)	Global mass function slope	[ucd=arith.grad;phys.mass]
#Column	n_MFslope	(A1)	[cd] Note on MFslope (2)	[ucd=meta.note]
#Column	sigma0	(F4.1)	Mass-weighted central (1D) velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	Vesc	(F4.1)	Central escape velocity	[ucd=phys.veloc.escape]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Note	Cluster	NRV	<RV>	e_<RV>	chi2	Dist	n_Dist	Mass	e_Mass	M/LV	e_M/LV	rc	rnm	rmlp	logrhoc	logrhonm	logTRH	MFslope	n_MFslope	sigma0	Vesc	SimbadName	_RA	_DE
      73	*	Ter 6       	  15	 136.6	 1.6	 0.00	  6.70	a	 1.17e+05	 4.40e+04	 1.15	 0.49	 0.04	 2.01	 1.48	 8.37	 3.87	 8.45	 2.2e-01	d	 8.7	32.8	Ter 6              	267.69333	-31.27528
      74	 	NGC 6496    	 120	-134.7	 0.3	 0.65	 11.69	a	 1.06e+05	 1.60e+04	 2.79	 1.65	 3.07	 7.73	 5.05	 2.06	 1.47	 9.47	-7.5e-01	d	 3.4	12.2	NGC 6496           	269.76533	-44.26594
      75	*	NGC 6522    	 158	 -14.0	 0.6	 0.99	  7.70	a	 3.92e+05	 5.40e+04	 3.31	 1.03	 0.15	 7.78	 4.34	 5.58	 2.01	 9.75	-1.0e+00	d	 8.2	33.3	NGC 6522           	270.89200	-30.03397
      76	*	NGC 6535    	  30	-214.9	 0.4	 0.41	  7.28	a	 2.00e+04	 5.60e+03	 4.80	 2.65	 0.20	 2.94	 2.22	 5.04	 2.37	 8.39	 8.2e-01	d	 2.8	11.1	NGC 6535           	270.96046	-00.29764
      77	*	NGC 6528    	  50	 211.0	 0.7	 1.43	  7.45	a	 8.96e+04	 1.85e+04	 2.26	 0.75	 0.11	 2.80	 1.97	 5.94	 3.02	 8.65	 3.0e-02	d	 6.4	26.3	NGC 6528           	271.20671	-30.05578
      78	 	NGC 6539    	 139	  35.6	 0.5	 0.81	  8.40	a	 2.50e+05	 3.50e+04	 1.55	 0.40	 0.91	 6.44	 4.04	 3.75	 2.03	 9.50	-7.8e-01	d	 5.9	23.9	NGC 6539           	271.20725	-07.58586
      79	 	NGC 6544    	  10	 -36.4	 1.0	 0.00	  2.46	a	 6.34e+04	 3.12e+04	 1.88	 0.94	 0.08	 1.84	 1.37	 7.71	 3.91	 8.25	 4.1e-01	d	 6.4	25.1	NGC 6544           	271.83575	-24.99733
      80	*	NGC 6541    	 148	-163.9	 0.4	 1.10	  8.63	a	 2.77e+05	 9.00e+03	 1.42	 0.50	 0.22	 4.28	 2.61	 5.66	 2.65	 9.21	-4.6e-01	c	 8.7	36.5	NGC 6541           	272.00983	-43.71489
      81	*	NGC 6553    	 431	   0.5	 0.4	 1.12	  4.90	a	 2.35e+05	 1.90e+04	 3.13	 0.45	 0.55	 2.93	 2.02	 4.83	 3.55	 8.87	-1.8e-01	d	 8.5	32.8	NGC 6553           	272.31533	-25.90775
      82	*	NGC 6558    	  17	-195.6	 0.7	 0.00	  6.30	a	 2.93e+04	 1.09e+04	 1.05	 0.40	 0.24	 2.33	 1.77	 5.17	 3.30	 8.26	 4.0e-01	d	 3.5	13.7	NGC 6558           	272.57333	-31.76389
      83	 	IC 1276     	  16	 155.3	 0.9	 0.00	  4.00	a	 5.46e+04	 2.60e+04	 1.99	 1.04	 1.05	 4.60	 3.16	 3.38	 2.29	 8.90	-2.1e-01	d	 3.3	12.3	IC 1276            	272.68442	-07.20758
      84	 	NGC 6569    	 223	 -49.9	 0.4	 2.55	 12.00	a	 3.02e+05	 3.60e+04	 1.98	 0.44	 1.21	 4.60	 2.94	 3.55	 2.58	 9.29	-5.8e-01	d	 7.5	28.4	NGC 6569           	273.41200	-31.82644
      85	 	NGC 6584    	   0	 222.9	15.0	 0.00	 13.18	a	 9.07e+04	 2.00e+04	 1.12	 0.37	 0.72	 4.70	 2.98	 3.16	 1.74	 9.12	-6.7e-01	c	 4.2	16.6	NGC 6584           	274.65667	-52.21578
      86	*	NGC 6624    	 196	  54.7	 0.4	 0.96	  7.00	b	 7.31e+04	 2.00e+03	 1.02	 0.13	 0.19	 2.08	 1.49	 5.21	 3.26	 8.40	 1.2e+00	c	 6.1	24.4	NGC 6624           	275.91879	-30.36103
      87	*	NGC 6626    	 201	  11.0	 0.6	 2.02	  5.50	a	 3.69e+05	 3.80e+04	 2.19	 0.35	 0.13	 2.63	 1.76	 7.42	 3.67	 8.89	-1.8e-01	d	12.6	49.5	NGC 6626           	276.13704	-24.86983
      88	*	NGC 6642    	  13	 -33.0	 1.0	 0.00	  8.05	a	 8.72e+04	 5.49e+04	 1.77	 1.13	 0.12	 1.99	 1.50	 6.34	 3.89	 8.36	 3.0e-01	d	 6.9	27.5	NGC 6642           	277.97596	-23.47614
      89	*	NGC 6656    	 720	-147.8	 0.3	 1.04	  3.10	b	 4.16e+05	 5.00e+03	 2.15	 0.08	 1.19	 5.16	 3.26	 3.66	 2.56	 9.45	-6.8e-01	c	 8.4	32.3	NGC 6656           	279.09975	-23.90475
      90	 	NGC 6681    	  32	 217.4	 0.9	 1.12	  9.20	b	 1.13e+05	 2.00e+03	 2.00	 0.28	 0.05	 3.07	 2.10	 7.33	 3.07	 8.76	 0.0e+00	d	 7.1	26.4	NGC 6681           	280.80317	-32.29211
      91	 	NGC 6712    	 215	-107.5	 0.3	 0.44	  6.73	a	 1.27e+05	 1.30e+04	 1.41	 0.31	 1.22	 4.31	 2.86	 3.57	 2.69	 9.03	-3.3e-01	c	 5.0	18.7	NGC 6712           	283.26800	-08.70597
      92	*	NGC 6715    	 548	 142.3	 0.3	 4.77	 23.50	b	 1.41e+06	 2.00e+04	 2.04	 0.10	 0.54	 5.62	 3.20	 5.35	 2.98	 9.77	-1.0e+00	d	16.2	53.5	NGC 6715           	283.76387	-30.47986
      93	 	NGC 6723    	 360	 -94.4	 0.2	 0.88	  8.20	a	 1.57e+05	 1.30e+04	 1.77	 0.28	 1.69	 4.82	 3.50	 2.99	 2.29	 9.14	 2.0e-02	c	 5.3	19.0	NGC 6723           	284.88812	-36.63225
      94	 	NGC 6749    	  15	 -58.5	 0.9	 0.00	  7.80	a	 5.68e+04	 3.57e+04	 1.45	 0.95	 1.30	 4.97	 3.37	 3.00	 2.06	 8.98	-2.8e-01	d	 3.2	11.8	NGC 6749           	286.31400	+01.90000
      95	*	NGC 6752    	1095	 -26.2	 0.1	 1.20	  4.30	b	 2.39e+05	 4.00e+03	 2.17	 0.34	 0.19	 4.01	 2.40	 5.38	 2.64	 9.16	-4.5e-01	c	 8.3	34.5	NGC 6752           	287.71712	-59.98456
      96	 	NGC 6760    	  23	  -1.6	 1.7	 0.00	  7.40	a	 2.54e+05	 1.08e+05	 2.29	 0.98	 0.75	 4.50	 2.82	 4.03	 2.54	 9.24	-5.3e-01	d	 7.2	28.6	NGC 6760           	287.80025	+01.03047
      97	 	NGC 6779    	  96	-122.0	 0.5	 0.28	 13.49	a	 2.81e+05	 5.20e+04	 1.58	 0.38	 1.71	 6.40	 4.38	 3.08	 2.14	 9.49	-5.9e-01	c	 6.1	23.4	NGC 6779           	289.14821	+30.18347
      98	*	Ter 7       	  42	 159.6	 0.1	 2.12	 26.91	a	 1.66e+04	 5.10e+03	 1.00	 0.57	 3.26	21.36	13.07	 0.71	-0.67	 9.84	-1.1e+00	d	 0.8	 3.2	Ter 7              	289.43300	-34.65772
      99	*	Arp 2       	  65	 122.5	 0.3	 0.30	 32.36	a	 1.09e+05	 3.10e+04	10.03	 3.47	11.21	23.58	16.74	 0.40	-0.04	10.32	-1.5e+00	d	 2.0	 6.9	Arp 2              	292.18379	-30.35564
     100	*	NGC 6809    	 581	 174.8	 0.2	 2.42	  5.75	a	 1.88e+05	 1.20e+04	 2.38	 0.49	 2.93	 6.92	 4.70	 2.45	 1.91	 9.51	-8.2e-01	c	 4.8	17.0	NGC 6809           	294.99879	-30.96475
     101	*	Ter 8       	 110	 148.2	 0.2	 0.70	 26.73	a	 4.39e+04	 1.21e+04	 4.02	 1.53	12.44	21.40	15.26	 0.02	-0.26	10.07	-1.3e+00	d	 1.4	 4.5	Ter 8              	295.43504	-33.99947
     102	 	Pal 11      	  18	 -67.2	 1.0	 0.00	 14.30	a	 1.48e+05	 1.17e+05	 2.26	 1.83	 5.08	 9.33	 6.63	 2.08	 1.75	 9.64	-9.1e-01	d	 3.7	12.3	Pal 11             	296.31000	-08.00722
     103	*	NGC 6838    	 237	 -22.5	 0.2	 1.17	  3.86	a	 4.91e+04	 4.70e+03	 2.76	 1.05	 0.52	 4.54	 2.95	 3.67	 1.94	 8.90	-1.9e-01	c	 3.3	13.1	NGC 6838           	298.44371	+18.77919
     104	 	NGC 6864    	  59	-188.6	 0.9	 1.12	 20.00	a	 5.86e+05	 1.24e+05	 2.94	 0.68	 0.56	 4.00	 2.46	 4.81	 3.14	 9.31	-6.0e-01	d	11.8	47.1	NGC 6864           	301.52017	-21.92226
     105	 	NGC 6934    	  29	-406.1	 0.5	 0.08	 14.00	a	 1.17e+05	 3.40e+04	 1.76	 0.51	 1.12	 4.72	 2.63	 3.56	 2.50	 9.17	-9.7e-01	c	 4.7	17.9	NGC 6934           	308.54737	+07.40447
     106	 	NGC 7006    	  30	-383.2	 0.6	 0.02	 58.80	a	 2.29e+05	 8.20e+04	 1.23	 0.44	 3.23	10.33	 6.68	 2.04	 1.22	 9.87	-1.1e+00	d	 4.4	16.1	NGC 7006           	315.37277	+16.18791
     107	*	NGC 7078    	1473	-106.5	 0.2	 1.31	  9.90	b	 4.53e+05	 5.00e+03	 1.15	 0.11	 0.08	 3.41	 1.90	 6.60	 3.23	 9.18	-7.5e-01	c	12.9	48.5	NGC 7078           	322.49304	+12.16700
     108	*	NGC 7089    	 543	  -3.6	 0.3	 2.44	 11.50	a	 5.82e+05	 1.20e+04	 1.62	 0.06	 0.77	 4.79	 3.00	 4.31	 2.80	 9.44	-5.6e-01	c	10.6	42.1	NGC 7089           	323.36258	-00.82325
     109	*	NGC 7099    	 762	-185.3	 0.1	 0.93	  8.10	a	 1.33e+05	 8.00e+03	 1.85	 0.39	 0.06	 4.88	 2.44	 5.99	 2.21	 9.26	-1.1e+00	c	 5.5	22.9	NGC 7099           	325.09217	-23.17986
     110	 	Pal 12      	  26	  28.2	 0.2	 0.00	 19.05	a	 1.19e+04	 7.30e+03	 2.92	 2.02	 3.69	 9.98	 6.98	 1.16	 0.50	 9.18	-3.8e-01	d	 1.0	 3.6	Pal 12             	326.66183	-21.25261
     111	 	Pal 13      	  43	  25.7	 0.3	 0.00	 24.80	a	 2.74e+04	 1.45e+04	10.74	 5.75	 3.45	18.13	11.08	 1.03	-0.24	 9.85	-1.1e+00	d	 1.2	 4.6	Pal 13             	346.68533	+12.77200
     112	 	NGC 7492    	  29	-176.7	 0.2	 0.37	 26.55	a	 2.58e+04	 7.70e+03	 1.21	 0.56	 4.09	11.14	 7.51	 1.06	 0.40	 9.47	-7.4e-01	d	 1.4	 4.3	NGC 7492           	347.11117	-15.61147

