#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T12:51:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T12:51:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F202%2Fcatalog&-out.all=1&-out.max=50000&-oc.form=sexa	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	E(B-V)	(F5.2)	? Foreground reddening	[ucd=phot.color.excess]
#Column	V(HB)	(F5.2)	? V magnitude of the horizontal branch (or RR Lyraes)	[ucd=phot.mag;em.opt.V]
#Column	(m-M)V	(F5.2)	? Apparent visual distance modulus	[ucd=phot.mag.distMod]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	MVt	(F6.2)	? Absolute visual magnitude (cluster luminosity)	[ucd=phys.magAbs;em.opt.V]
#Column	(U-B)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	(B-V)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	(V-R)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	(V-I)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	S(RR)	(F5.1)	? Specific frequency of RR Lyr (see Suntzeff et al., 1991ApJ...367..528S)	[ucd=em.freq]
#Column	HBR	(F5.2)	? Horizontal-branch ratio = (B-R)/(B+V+R) (see Lee, 1990ApJ...363..159L)	[ucd=stat.param]
#Column	HBt	(A3)	[0-7/: ] Dickens horizontal-branch morphological type (see Dickens, 1972MNRAS.157..281D)	[ucd=src.morph.type]
#Column	[Fe/H]	(F5.2)	? Metallicity in log (base 10) scale	[ucd=instr.scale]
#Column	SpT	(A4)	Integrated spectral type	[ucd=src.spType]
#Column	Vr	(F6.1)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Observational uncertainty in Vr	[ucd=stat.error]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
#Column	n_c	(A2)	[c: ] 'c' denotes a core-collapsed cluster	[ucd=meta.note]
#Column	Rc	(F5.2)	? Core radius	[ucd=phys.angSize]
#Column	Rh	(F5.2)	? Half-mass radius	[ucd=phys.angSize]
#Column	u_Rh	(A1)	Uncertainty flag (:) on Rh	[ucd=meta.code.error]
#Column	log(Tc)	(F5.2)	? Log (base 10) of core relaxation time	[ucd=time.relax]
#Column	log(Th)	(F5.2)	? Log (base 10) of relaxation time at the half-mass radius	[ucd=time.relax]
#Column	muV	(F5.2)	? Central surface brightness in V band	[ucd=phot.mag.sb;em.opt.V]
#Column	log(rhoc)	(F5.2)	? Logarithm of central luminosity density (Solar luminosities per cubic parsec)	[ucd=phys.luminosity]
recno	ID	Name	RAJ2000	DEJ2000	GLON	GLAT	Rsun	Rgc	X	Y	Z	E(B-V)	V(HB)	(m-M)V	Vt	MVt	(U-B)t	(B-V)t	(V-R)t	(V-I)t	S(RR)	HBR	HBt	[Fe/H]	SpT	Vr	e_Vr	Vlsr	c	n_c	Rc	Rh	u_Rh	log(Tc)	log(Th)	muV	log(rhoc)
      48	NGC 6139 	           	16 27 40.4	-38 50 56	342.37	  6.94	 10.5	  3.9	  9.9	 -3.2	  1.3	 0.74	18.00	17.40	 8.99	 -8.41	 0.73	 1.40	 0.91	 1.86	  2.2	     	2  	-1.65	F6/7	   6.7	 6.0	  13.0	 1.80	  	 0.14	 0.82	 	 7.55	 8.59	17.30	 4.64
      49	Terzan 3 	           	16 28 40.1	-35 21 13	345.08	  9.19	 26.4	 18.9	 25.2	 -6.7	  4.2	 0.32	18.80	18.10	12.00	 -6.10	     	     	     	     	     	     	   	     	    	      	    	      	 0.70	  	 1.18	 1.30	 	     	     	22.52	 0.79
      50	NGC 6171 	M 107      	16 32 31.9	-13 03 13	  3.37	 23.01	  6.3	  3.3	  5.8	  0.3	  2.4	 0.33	15.70	15.01	 7.93	 -7.08	 0.69	 1.10	 0.72	 1.45	 32.5	-0.73	6  	-1.04	G0  	 -33.8	 0.3	 -20.6	 1.51	  	 0.54	 2.70	 	 8.10	 8.75	18.84	 3.14
      51	1636-283 	ESO452-SC11	16 39 25.5	-28 23 52	351.91	 12.10	  7.6	  2.0	  7.4	 -1.0	  1.6	 0.50	16.66	15.96	12.00	 -3.96	     	     	     	     	     	     	   	     	    	      	    	      	     	  	     	     	 	     	     	20.75	
      52	NGC 6205 	M 13       	16 41 41.5	+36 27 37	 59.01	 40.91	  7.0	  8.3	  2.7	  4.5	  4.6	 0.02	14.90	14.28	 5.78	 -8.50	-0.02	 0.68	     	 0.86	  2.0	 0.97	0  	-1.54	F6  	-246.6	 0.9	-228.2	 1.49	  	 0.88	 1.49	 	 8.94	 8.96	16.80	 3.32
      53	NGC 6229 	           	16 46 58.9	+47 31 40	 73.64	 40.31	 29.3	 28.7	  6.3	 21.4	 19.0	 0.01	18.00	17.37	 9.39	 -7.98	-0.03	 0.70	     	 1.01	 12.9	 0.24	1/6	-1.44	F7  	-154.2	 7.6	-136.4	 1.61	  	 0.13	 0.37	 	 8.51	 8.90	16.99	 3.42
      54	NGC 6218 	M 12       	16 47 14.5	-01 56 52	 15.72	 26.31	  4.7	  4.6	  4.1	  1.2	  2.1	 0.19	14.60	13.97	 6.70	 -7.27	 0.20	 0.83	 0.56	 1.14	  0.0	 0.97	1  	-1.48	F8  	 -42.1	 0.6	 -26.3	 1.38	  	 0.66	 2.16	 	 8.23	 8.86	18.17	 3.27
      55	NGC 6235 	           	16 53 25.4	-22 10 38	358.92	 13.52	  9.7	  2.7	  9.5	 -0.2	  2.3	 0.36	16.70	16.06	 9.97	 -6.09	 0.44	 1.05	 0.66	 1.36	 11.0	 0.89	1  	-1.40	F9: 	  87.3	 3.4	  98.8	 1.33	  	 0.36	 0.84	 	 8.07	 8.56	18.98	 3.12
      56	NGC 6254 	M 10       	16 57 08.9	-04 05 58	 15.14	 23.08	  4.3	  4.6	  3.8	  1.0	  1.7	 0.28	14.65	14.03	 6.60	 -7.43	 0.23	 0.90	 0.53	 1.21	  1.1	 0.98	0  	-1.52	F3  	  75.8	 1.0	  91.5	 1.40	  	 0.86	 1.81	 	 8.38	 8.56	17.69	 3.51
      57	NGC 6256 	           	16 59 32.6	-37 07 17	347.79	  3.31	  9.3	  2.3	  9.1	 -2.0	  0.5	 0.84	18.20	17.45	11.29	 -6.16	 1.03	 1.69	     	     	     	     	   	-0.70	    	      	    	      	 2.50	c 	 0.02	 0.85	 	 5.72	 8.41	17.89	 5.32
      58	Pal 15   	           	17 00 02.4	-00 32 31	 18.87	 24.30	 43.6	 36.9	 37.6	 12.8	 17.9	 0.40	20.00	19.43	14.00	 -5.43	     	     	     	     	  0.0	 1.00	1  	-1.90	    	  68.9	 1.1	  85.2	 0.60	  	 1.21	 1.21	 	     	     	24.87	-0.24
      59	NGC 6266 	M 62       	17 01 12.6	-30 06 44	353.58	  7.32	  6.7	  1.8	  6.6	 -0.7	  0.9	 0.47	16.25	15.59	 6.45	 -9.14	 0.52	 1.19	 0.74	 1.58	 19.1	 0.32	4  	-1.29	F9: 	 -65.8	 2.5	 -56.3	 1.70	c:	 0.18	 1.23	 	 7.54	 8.55	15.35	 5.15
      60	NGC 6273 	M 19       	17 02 37.7	-26 16 05	356.87	  9.38	  8.5	  1.5	  8.4	 -0.5	  1.4	 0.37	16.40	15.80	 6.77	 -9.03	 0.35	 1.03	 0.66	 1.35	  0.5	     	1  	-1.68	F7  	 135.0	 4.0	 145.6	 1.53	  	 0.43	 1.25	 	 8.80	 9.28	16.82	 3.97
      61	NGC 6284 	           	17 04 28.8	-24 45 53	358.35	  9.94	 14.3	  6.6	 14.1	 -0.4	  2.5	 0.28	17.30	16.65	 8.83	 -7.82	 0.40	 0.99	 0.65	 1.31	  3.0	     	0  	-1.32	F9  	  29.7	10.8	  40.8	 2.50	c 	 0.07	 0.78	 	 7.07	 8.54	16.65	 4.45
      62	NGC 6287 	           	17 05 09.4	-22 42 29	  0.13	 11.02	  8.4	  1.6	  8.3	  0.0	  1.6	 0.59	17.00	16.46	 9.35	 -7.11	 0.52	 1.20	 0.83	 1.74	  2.9	 0.98	1  	-2.05	F5  	-208.0	16.0	-196.4	 1.60	  	 0.26	 0.75	 	 7.72	 8.14	18.33	 3.85
      63	NGC 6293 	           	17 10 10.4	-26 34 54	357.62	  7.83	  8.8	  1.5	  8.7	 -0.4	  1.2	 0.39	16.50	15.94	 8.22	 -7.72	 0.29	 0.96	 0.63	 1.28	  3.3	 0.90	1  	-1.92	F3  	 -98.9	 8.5	 -88.2	 2.50	c 	 0.05	 0.91	 	 6.34	 8.52	16.18	 5.19
      64	NGC 6304 	           	17 14 32.5	-29 27 44	355.83	  5.38	  6.0	  2.2	  5.9	 -0.4	  0.6	 0.52	16.25	15.49	 8.22	 -7.27	 0.82	 1.31	 0.77	 1.70	  0.0	-1.00	7  	-0.59	G3  	-107.3	 3.6	 -97.4	 1.80	  	 0.21	 1.41	 	 7.45	 8.56	17.34	 4.40
      65	NGC 6316 	           	17 16 37.4	-28 08 24	357.18	  5.76	 11.5	  3.7	 11.4	 -0.6	  1.2	 0.55	17.78	17.01	 8.43	 -8.58	 0.62	 1.39	 0.85	 1.80	     	-1.00	7  	-0.55	G2  	  71.5	 8.9	  81.8	 1.55	  	 0.17	 0.71	 	 7.94	 8.92	17.40	 4.23
      66	NGC 6341 	M 92       	17 17 07.3	+43 08 11	 68.34	 34.86	  8.1	  9.5	  2.4	  6.1	  4.6	 0.02	15.10	14.59	 6.44	 -8.15	 0.01	 0.63	     	 0.88	 13.7	 0.91	2  	-2.29	F2  	-121.6	 1.5	-103.0	 1.81	  	 0.23	 1.09	 	 7.84	 8.56	15.58	 4.30
      67	NGC 6325 	           	17 17 59.2	-23 45 57	  0.97	  8.00	  9.4	  1.9	  9.3	  0.2	  1.3	 0.89	18.30	17.63	10.33	 -7.30	 0.85	 1.66	     	 2.15	     	     	1  	-1.17	G0  	   3.1	 8.3	  14.7	 2.50	c 	 0.03	 0.94	 	 5.53	 7.91	17.56	 5.41
      68	NGC 6333 	M 9        	17 19 11.8	-18 30 59	  5.54	 10.70	  8.3	  1.7	  8.1	  0.8	  1.5	 0.36	16.30	15.71	 7.72	 -7.99	 0.32	 0.97	 0.63	 1.33	 10.8	 0.87	1  	-1.72	F5/6	 229.1	 7.0	 242.0	 1.15	  	 0.58	 0.95	 	 8.62	 8.49	17.40	 3.63
      69	NGC 6342 	           	17 21 10.2	-19 35 14	  4.90	  9.73	  9.1	  1.9	  8.9	  0.8	  1.5	 0.44	16.90	16.15	 9.66	 -6.49	 0.77	 1.26	 0.80	 1.57	     	-1.00	7  	-0.65	G3/4	  80.9	 7.1	  93.6	 2.50	c 	 0.05	 0.88	 	 6.57	 8.58	17.44	 4.72
      70	NGC 6356 	           	17 23 35.0	-17 48 47	  6.72	 10.22	 14.6	  7.0	 14.3	  1.7	  2.6	 0.29	17.50	16.73	 8.25	 -8.48	 0.63	 1.13	 0.69	 1.45	  0.0	-1.00	7  	-0.50	G3  	  27.0	 4.3	  40.2	 1.54	  	 0.23	 0.74	 	 8.54	 9.11	17.09	 3.79
      71	NGC 6355 	           	17 23 58.6	-26 21 13	359.58	  5.43	  7.1	  1.2	  7.0	 -0.1	  0.7	 0.75	17.20	16.58	 9.14	 -7.44	 0.72	 1.48	 0.93	 1.83	     	     	   	-1.50	G0  	-176.9	 7.1	-166.0	 2.50	c 	 0.05	 0.87	 	 6.05	 8.47	18.05	 4.96
      72	NGC 6352 	           	17 25 29.2	-48 25 22	341.42	 -7.17	  5.6	  3.3	  5.2	 -1.8	 -0.7	 0.21	15.13	14.39	 7.96	 -6.43	 0.64	 1.06	 0.66	 1.50	  0.0	-1.00	7  	-0.70	G4  	-120.9	 3.0	-116.7	 1.10	  	 0.83	 2.00	 	 8.64	 8.71	18.42	 3.05
      73	IC 1257  	           	17 27 08.5	-07 05 35	 16.53	 15.14	 24.5	 17.3	 22.6	  6.7	  6.4	 0.73	19.80	19.20	13.10	 -6.10	     	 1.38	     	 1.83	     	 1.00	1  	-1.70	    	      	    	      	     	  	     	     	 	     	     	     	
      74	Terzan 2 	HP 3       	17 27 33.4	-30 48 08	356.32	  2.30	  9.5	  1.6	  9.5	 -0.6	  0.4	 1.42	20.10	19.29	14.29	 -5.00	     	     	     	     	     	-1.00	7  	-0.25	    	 109.0	15.0	 118.7	 2.50	c 	 0.03	 1.52	 	 5.56	 8.55	21.58	 4.43
      75	NGC 6366 	           	17 27 44.3	-05 04 36	 18.41	 16.04	  3.6	  4.9	  3.3	  1.1	  1.0	 0.69	15.65	14.92	 9.20	 -5.72	 0.97	 1.44	     	     	  5.1	-0.97	7  	-0.82	    	-122.3	 0.5	-106.3	 0.92	  	 1.83	 2.63	 	 8.77	 8.50	21.24	 2.39
      76	Terzan 4 	HP 4       	17 30 38.9	-31 35 44	356.02	  1.31	  8.9	  1.1	  8.9	 -0.6	  0.2	 2.35	22.65	22.04	16.00	 -6.04	     	     	     	     	     	     	1  	-1.60	    	 -50.0	15.0	 -40.5	     	  	     	     	 	     	     	     	
      77	HP 1     	BH 229     	17 31 05.2	-29 58 54	357.42	  2.12	  7.2	  0.9	  7.2	 -0.3	  0.3	 1.19	18.60	17.98	11.59	 -6.39	     	     	     	     	     	     	1  	-1.50	    	  53.1	 9.8	  63.1	 2.50	c 	 0.03	 3.10	 	 6.06	 9.49	21.29	 4.47
      78	NGC 6362 	           	17 31 54.8	-67 02 53	325.55	-17.57	  7.5	  5.1	  5.9	 -4.0	 -2.3	 0.09	15.34	14.65	 7.73	 -6.92	 0.29	 0.85	 0.56	 1.14	 56.4	-0.58	1/7	-1.06	G3  	 -13.1	 0.6	 -15.1	 1.10	  	 1.32	 2.18	 	 9.09	 8.83	19.19	 2.27
      79	Liller 1 	           	17 33 24.5	-33 23 20	354.84	 -0.16	 10.5	  2.6	 10.5	 -0.9	  0.0	 2.98	25.23	24.35	16.77	 -7.58	     	     	     	     	  0.0	-1.00	7  	 0.22	    	  52.0	15.0	  61.0	 2.30	c:	 0.06	 0.45	 	 6.73	     	23.15	 5.40
      80	NGC 6380 	Ton 1      	17 34 28.0	-39 04 09	350.18	 -3.42	     	     	     	     	     	 1.38	     	     	11.31	      	     	 2.01	     	     	     	     	   	     	    	      	    	      	 1.55	c:	 0.34	 0.75	 	 7.60	 7.65	19.96	
      81	Terzan 1 	HP 2       	17 35 47.8	-30 28 11	357.57	  1.00	  6.5	  1.5	  6.5	 -0.3	  0.1	 1.64	19.95	19.15	15.90	 -3.25	     	     	     	     	     	     	7  	-0.35	    	  35.0	15.0	  44.9	 2.50	c 	 0.04	 3.82	 	     	     	25.09	 3.42
      82	Ton 2    	Pismis 26  	17 36 10.5	-38 33 12	350.80	 -3.42	  7.9	  1.4	  7.8	 -1.3	 -0.5	 1.24	19.10	18.33	12.24	 -6.09	     	     	     	     	     	     	7  	-0.50	    	      	    	      	 1.30	  	 0.54	 1.08	 	     	     	22.16	 2.85
      83	NGC 6388 	           	17 36 17.0	-44 44 06	345.56	 -6.74	 11.5	  4.4	 11.1	 -2.9	 -1.4	 0.38	17.25	16.49	 6.72	 -9.77	 0.66	 1.17	 0.71	 1.47	  0.6	     	7  	-0.60	G2  	  81.2	 1.2	  86.7	 1.70	  	 0.12	 0.67	 	 7.92	 8.70	14.55	 5.29
      84	NGC 6402 	M 14       	17 37 36.1	-03 14 45	 21.32	 14.81	  8.7	  3.8	  7.8	  3.1	  2.2	 0.60	17.20	16.56	 7.59	 -8.97	 0.57	 1.25	 0.81	 1.64	 22.2	 0.65	2  	-1.39	F4  	 -66.1	 1.8	 -49.7	 1.60	  	 0.83	 1.29	 	 9.27	 9.19	18.41	 3.31
      85	NGC 6401 	           	17 38 36.9	-23 54 32	  3.45	  3.98	  7.5	  0.9	  7.5	  0.5	  0.5	 0.85	17.70	17.02	 9.45	 -7.57	 0.93	 1.58	 1.02	 2.01	 20.7	     	2: 	-1.12	F9  	 -65.0	 8.6	 -53.2	 1.69	  	 0.25	 1.91	 	 7.52	 9.13	18.67	 4.11
      86	NGC 6397 	           	17 40 41.3	-53 40 25	338.17	-11.96	  2.2	  6.0	  2.0	 -0.8	 -0.5	 0.18	12.87	12.31	 5.73	 -6.58	 0.12	 0.73	 0.49	 1.03	  0.0	 0.98	1  	-1.95	F4  	  18.9	 0.1	  21.4	 2.50	c 	 0.05	 2.33	 	 4.93	 8.35	15.65	 5.69
      87	Pal 6    	           	17 43 42.2	-26 13 21	  2.09	  1.78	  6.7	  1.4	  6.7	  0.2	  0.2	 1.53	19.70	18.87	11.55	 -7.32	     	 2.83	     	     	     	-1.00	7  	-0.10	    	 201.0	20.0	 212.2	 1.10	  	 0.66	 1.06	 	 8.45	     	21.58	 3.45
      88	NGC 6426 	           	17 44 54.7	+03 10 13	 28.09	 16.23	 19.9	 13.8	 16.8	  9.0	  5.6	 0.36	18.12	17.61	11.01	 -6.60	 0.35	 1.02	     	 1.28	 27.5	 0.53	2  	-2.26	G1: 	-162.0	23.0	-144.5	 1.70	  	 0.26	 0.96	 	 8.24	 8.86	20.37	 2.37
      89	Djorg 1  	           	17 47 28.3	-33 03 56	356.67	 -2.48	  9.2	  1.4	  9.2	 -0.5	 -0.4	 1.70	20.80	20.10	13.60	 -6.50	     	     	     	     	     	     	   	     	    	      	    	      	 1.50	  	 0.50	 1.26	 	 9.50	     	23.10	 3.00
      90	Terzan 5 	Terzan 11  	17 48 04.9	-24 48 45	  3.81	  1.67	  8.0	  0.6	  8.0	  0.5	  0.2	 2.32	22.52	21.71	13.85	 -7.86	 2.13	 2.77	     	     	     	-1.00	7  	-0.28	    	 -94.0	15.0	 -82.4	 1.74	  	 0.18	 0.83	 	 7.83	     	20.33	 5.38
      91	NGC 6440 	           	17 48 52.6	-20 21 34	  7.73	  3.80	  8.0	  1.2	  7.9	  1.1	  0.5	 1.09	18.70	17.90	 9.20	 -8.70	 1.47	 1.97	 1.24	 2.51	     	-1.00	7  	-0.34	G4  	 -78.7	 5.7	 -65.9	 1.70	  	 0.13	 0.58	 	 7.45	 8.15	17.02	 5.33
      92	NGC 6441 	           	17 50 12.9	-37 03 04	353.53	 -5.01	  9.7	  2.1	  9.6	 -1.1	 -0.8	 0.45	17.10	16.33	 7.15	 -9.18	 0.81	 1.27	 0.79	 1.62	  0.4	     	7  	-0.53	G2  	  18.3	 1.7	  26.3	 1.85	  	 0.11	 0.64	 	 7.75	 8.66	14.99	 5.31
      93	Terzan 6 	HP 5       	17 50 46.4	-31 16 31	358.57	 -2.16	  7.5	  0.6	  7.5	 -0.2	 -0.3	 2.04	21.44	20.69	13.85	 -6.84	     	     	     	     	  0.0	-1.00	7  	-0.65	    	 126.0	15.0	 135.7	 2.50	c 	 0.05	 0.44	 	     	     	20.76	 5.39
      94	NGC 6453 	           	17 50 51.8	-34 35 55	355.72	 -3.87	 10.9	  3.1	 10.9	 -0.8	 -0.7	 0.61	17.70	17.08	10.08	 -7.00	 0.68	 1.31	 0.99	 2.00	  0.0	     	   	-1.53	F8  	 -83.7	 8.3	 -74.9	 2.50	c 	 0.07	 0.37	 	 6.92	 7.97	17.35	 4.73
      95	UKS 1    	           	17 54 27.2	-24 08 43	  5.12	  0.76	  7.5	  0.8	  7.5	  0.7	  0.1	 2.93	24.14	23.47	17.29	 -6.18	     	     	     	     	     	     	   	-1.20	    	      	    	      	 2.10	c:	 0.15	 0.86	 	     	     	25.52	 4.16
      96	NGC 6496 	           	17 59 02.0	-44 15 54	348.02	-10.01	 11.6	  4.4	 11.1	 -2.4	 -2.0	 0.13	16.47	15.72	 8.54	 -7.18	 0.45	 0.98	     	     	  0.0	-1.00	7  	-0.64	G4  	-112.7	 5.7	-107.0	 0.70	  	 1.05	 1.87	 	 8.46	 8.46	20.10	 1.94
      97	Terzan 9 	           	18 01 38.8	-26 50 23	  3.60	 -1.99	  7.8	  0.6	  7.8	  0.5	 -0.3	 1.75	20.58	19.88	16.00	 -3.88	     	     	     	     	     	     	   	-1.00	    	  59.0	10.0	  70.0	 2.50	c 	 0.03	 0.78	 	     	     	23.21	 4.36
      98	Djorg 2  	E456-SC38  	18 01 49.1	-27 49 33	  2.76	 -2.51	 13.8	  5.8	 13.8	  0.7	 -0.6	 1.00	19.50	18.80	 9.90	 -8.90	     	     	     	     	     	     	   	     	    	      	    	      	 1.50	  	 0.33	 0.83	 	 8.62	     	19.50	 3.58
      99	NGC 6517 	           	18 01 50.6	-08 57 32	 19.23	  6.76	 10.5	  4.1	  9.9	  3.4	  1.2	 1.08	19.10	18.46	10.23	 -8.23	 0.85	 1.75	     	 2.31	     	     	0  	-1.37	F8  	 -39.6	 8.0	 -24.1	 1.82	  	 0.06	 0.62	 	 6.43	 7.89	17.77	 5.21
     100	Terzan 10	           	18 02 57.4	-26 04 00	  4.42	 -1.86	  8.4	  0.8	  8.3	  0.6	 -0.3	 2.60	23.42	22.67	14.90	 -7.77	     	     	     	     	     	     	   	-0.70	    	      	    	      	     	  	     	     	 	     	     	21.28	
     101	NGC 6522 	           	18 03 34.1	-30 02 02	  1.02	 -3.93	  7.0	  1.1	  7.0	  0.1	 -0.5	 0.50	16.40	15.78	 8.27	 -7.51	 0.65	 1.21	 0.76	 1.51	  5.0	 0.71	1  	-1.52	F7/8	 -15.0	 3.3	  -4.9	 2.50	c 	 0.05	 1.04	 	 6.45	 8.25	16.14	 5.38
     102	NGC 6535 	           	18 03 50.7	-00 17 49	 27.18	 10.44	  6.8	  3.9	  5.9	  3.0	  1.2	 0.32	15.73	15.15	10.47	 -4.68	 0.29	 0.94	     	     	  0.0	 1.00	1  	-1.80	G0  	-215.1	 0.5	-198.0	 1.30	  	 0.42	 0.77	 	 7.47	 8.05	20.22	 2.66
     103	NGC 6528 	           	18 04 49.6	-30 03 21	  1.14	 -4.17	  7.4	  0.8	  7.4	  0.1	 -0.5	 0.62	17.10	16.28	 9.60	 -6.68	 1.09	 1.53	 0.90	 1.74	  0.0	-1.00	7  	-0.17	G3  	 184.9	 3.8	 195.0	 2.29	  	 0.09	 0.43	 	 6.80	 7.73	16.91	 4.99
     104	NGC 6539 	           	18 04 49.8	-07 35 09	 20.80	  6.78	  7.9	  3.0	  7.3	  2.8	  0.9	 1.00	18.33	17.58	 9.33	 -8.25	 1.01	 1.83	     	 2.23	  0.0	-1.00	7  	-0.66	G4: 	 -45.6	10.9	 -29.9	 1.60	  	 0.54	 1.67	 	 8.05	 8.38	19.31	 3.68
     105	NGC 6540 	Djorg 3    	18 06 08.6	-27 45 55	  3.29	 -3.31	  3.5	  4.5	  3.5	  0.2	 -0.2	 0.60	15.30	14.60	 9.30	 -5.30	     	     	     	     	     	     	2: 	-1.00	    	      	    	      	 2.50	c 	 0.03	 0.24	 	 6.46	     	16.40	 5.94
     106	NGC 6544 	           	18 07 20.6	-24 59 51	  5.84	 -2.20	  2.5	  5.5	  2.5	  0.3	 -0.1	 0.74	14.90	14.28	 7.77	 -6.51	 0.73	 1.46	 0.98	 1.92	     	 1.00	1  	-1.56	F9  	 -27.3	 3.9	 -15.7	 1.63	c:	 0.05	 1.77	 	 5.23	 7.82	17.13	 5.78
     107	NGC 6541 	           	18 08 02.2	-43 42 20	349.29	-11.18	  7.4	  2.1	  7.2	 -1.4	 -1.4	 0.12	15.30	14.72	 6.30	 -8.42	 0.13	 0.76	 0.49	 1.01	  0.0	 1.00	1  	-1.83	F6  	-156.2	 2.7	-150.3	 2.00	c:	 0.30	 1.19	 	 8.04	 8.58	15.58	 4.36
     108	NGC 6553 	           	18 09 15.6	-25 54 28	  5.25	 -3.02	  4.7	  3.3	  4.7	  0.4	 -0.2	 0.78	16.60	15.79	 8.06	 -7.73	 1.34	 1.73	 1.01	 2.13	  0.8	-1.00	7  	-0.25	G4  	  -6.5	 2.7	   4.8	 1.17	  	 0.55	 1.55	 	 8.04	 8.33	18.15	 4.11
     109	NGC 6558 	           	18 10 18.4	-31 45 49	  0.20	 -6.03	  6.4	  1.8	  6.4	  0.0	 -0.7	 0.42	15.97	15.34	 9.26	 -6.08	 0.58	 1.11	 0.71	 1.46	 22.3	     	   	-1.44	F7  	-143.7	 9.4	-134.1	 2.50	c 	 0.03	 1.61	 	 5.95	 9.13	17.08	 5.14
     110	IC 1276  	Pal 7      	18 10 44.2	-07 12 27	 21.83	  5.67	  9.3	  3.6	  8.6	  3.5	  0.9	 0.92	18.40	17.70	10.34	 -7.36	 1.03	 1.76	     	     	  1.1	     	   	     	    	      	    	      	 1.29	  	 1.08	 2.35	 	 9.03	 9.15	21.66	 2.29
     111	Terzan 12	           	18 12 15.8	-22 44 31	  8.36	 -2.10	     	     	     	     	     	 1.57	     	     	15.63	      	     	     	     	     	     	     	   	     	    	      	    	      	 0.57	  	 0.83	 0.84	 	     	     	23.75	
     112	NGC 6569 	           	18 13 38.9	-31 49 35	  0.48	 -6.68	  8.5	  1.1	  8.4	  0.1	 -1.0	 0.56	17.10	16.38	 8.55	 -7.83	 0.74	 1.34	 0.83	 1.69	  7.4	     	   	-0.86	G1: 	 -28.1	 5.6	 -18.5	 1.27	  	 0.37	 1.33	 	 8.31	 8.57	18.08	 3.77
